,0,1,2,3,4,5,6,7
43,Edestads kyrkogård,https://www.rotter.se/gsi/begravningsplatser/52,52, 56.21730000,15.35993300, Ronneby kommun, Blekinge län,
44,Eringsboda kyrkogård,https://www.rotter.se/gsi/begravningsplatser/53,53, 56.43658900,15.36570800, Ronneby kommun, Blekinge län,
45,Förkärla kyrkogård,https://www.rotter.se/gsi/begravningsplatser/54,54, 56.19660500,15.43477100, Ronneby kommun, Blekinge län,
46,Hjortsberga kyrkogård,https://www.rotter.se/gsi/begravningsplatser/55,55, 56.22532900,15.40828900, Ronneby kommun, Blekinge län,
47,Göholms kyrkogård,https://www.rotter.se/gsi/begravningsplatser/56,56, 56.15324000,15.33104100, Ronneby kommun, Blekinge län,
48,Listerby kyrkogård,https://www.rotter.se/gsi/begravningsplatser/57,57, 56.19626600,15.40267400, Ronneby kommun, Blekinge län,
49,Saxemara kyrkogård,https://www.rotter.se/gsi/begravningsplatser/59,59, 56.16726500,15.23070300, Ronneby kommun, Blekinge län,
50,Öljehults kyrkogård,https://www.rotter.se/gsi/begravningsplatser/60,60, 56.41860100,15.04186400, Ronneby kommun, Blekinge län,
51,Sölvesborgs kapellkyrkogård,https://www.rotter.se/gsi/begravningsplatser/61,61, 56.05681600,14.58942500, Sölvesborg kommun, Blekinge län,
52,Sölvesborgs Slottskyrkogården,https://www.rotter.se/gsi/begravningsplatser/62,62, 56.05785800,14.59098100, Sölvesborg kommun, Blekinge län,
53,Sölvesborgs östra kyrkogård,https://www.rotter.se/gsi/begravningsplatser/63,63, 56.05641100,14.59160200, Sölvesborg kommun, Blekinge län,
54,Mjällby kyrkogård,https://www.rotter.se/gsi/begravningsplatser/64,64, 56.05060900,14.67865800, Sölvesborg kommun, Blekinge län,
55,Åls kyrkogård,https://www.rotter.se/gsi/begravningsplatser/65,65, 60.68296100,15.10374000, Leksand kommun, Dalarnas län,
56,Evertsbergs kyrkogård,https://www.rotter.se/gsi/begravningsplatser/66,66, 61.13346500,13.96662000, Älvdalen kommun, Dalarnas län,
57,Nornäs kyrkogård,https://www.rotter.se/gsi/begravningsplatser/67,67, 61.43725000,13.25133300, Älvdalen kommun, Dalarnas län,
58,Åsens kyrkogård,https://www.rotter.se/gsi/begravningsplatser/68,68, 61.27467000,13.82405500, Älvdalen kommun, Dalarnas län,
59,Älvdalens gamla kyrkogård,https://www.rotter.se/gsi/begravningsplatser/69,69, 61.22628600,14.04232500, Älvdalen kommun, Dalarnas län,
60,Älvdalens västra kyrkogård,https://www.rotter.se/gsi/begravningsplatser/70,70, 61.22543900,14.04024100, Älvdalen kommun, Dalarnas län,
61,Älvdalens östra kyrkogård,https://www.rotter.se/gsi/begravningsplatser/71,71, 61.22636300,14.04586300, Älvdalen kommun, Dalarnas län,
62,Ärnäs kyrkogård,https://www.rotter.se/gsi/begravningsplatser/72,72, 61.35386700,13.28441700, Älvdalen kommun, Dalarnas län,Q55778586
63,Avesta kyrkogård,https://www.rotter.se/gsi/begravningsplatser/73,73, 60.14920400,16.16724100, Avesta kommun, Dalarnas län,Q29555937
64,Bjursås kyrkogård,https://www.rotter.se/gsi/begravningsplatser/74,74, 60.73758600,15.45043400, Falun kommun, Dalarnas län,
65,Sågmyra kyrkogård,https://www.rotter.se/gsi/begravningsplatser/75,75, 60.71394200,15.29650800, Falun kommun, Dalarnas län,
66,By gamla kyrkogård,https://www.rotter.se/gsi/begravningsplatser/76,76, 60.20230900,16.47775200, Avesta kommun, Dalarnas län,
67,By nya kyrkogård,https://www.rotter.se/gsi/begravningsplatser/77,77, 60.20207400,16.48194700, Avesta kommun, Dalarnas län,
68,Horndals kyrkogård,https://www.rotter.se/gsi/begravningsplatser/78,78, 60.28927900,16.40405800, Avesta kommun, Dalarnas län,
69,Envikens kyrkogård,https://www.rotter.se/gsi/begravningsplatser/79,79, 60.80635200,15.76801300, Falun kommun, Dalarnas län,
70,Aspeboda kyrkogård,https://www.rotter.se/gsi/begravningsplatser/80,80, 60.55905400,15.49433700, Falun kommun, Dalarnas län,
71,Hästbergs nya kyrkogård,https://www.rotter.se/gsi/begravningsplatser/81,81, 60.61962700,15.64496800, Falun kommun, Dalarnas län,
72,Falu skogskyrkogård,https://www.rotter.se/gsi/begravningsplatser/82,82, 60.61454400,15.64728500, Falun kommun, Dalarnas län,
73,Hästbergs gamla kyrkogård,https://www.rotter.se/gsi/begravningsplatser/83,83, 60.61824800,15.64357300, Falun kommun, Dalarnas län,
74,Kämparvets kyrkogård,https://www.rotter.se/gsi/begravningsplatser/84,84, 60.60744800,15.63891000, Falun kommun, Dalarnas län,
75,Norslunds kyrkogård,https://www.rotter.se/gsi/begravningsplatser/85,85, 60.60120800,15.65285800, Falun kommun, Dalarnas län,Q20823574
76,Grycksbo kyrkogård,https://www.rotter.se/gsi/begravningsplatser/86,86, 60.68429400,15.49151600, Falun kommun, Dalarnas län,
77,Hosjö kyrkogård,https://www.rotter.se/gsi/begravningsplatser/87,87, 60.59220200,15.76163400, Falun kommun, Dalarnas län,
78,Stora Kopparbergs kyrkogård,https://www.rotter.se/gsi/begravningsplatser/88,88, 60.61435600,15.62929800, Falun kommun, Dalarnas län,
79,Vika kyrkogård,https://www.rotter.se/gsi/begravningsplatser/89,89, 60.51371200,15.71302200, Falun kommun, Dalarnas län,
80,Folkärna kyrkogård,https://www.rotter.se/gsi/begravningsplatser/90,90, 60.15258400,16.31473800, Avesta kommun, Dalarnas län,
81,Floda kyrkogård,https://www.rotter.se/gsi/begravningsplatser/91,91, 60.50811400,14.79852600, Gagnef kommun, Dalarnas län,
82,Gagnefs kyrkogård,https://www.rotter.se/gsi/begravningsplatser/92,92, 60.58995900,15.05943700, Gagnef kommun, Dalarnas län,
83,Mockfjärds kyrkogård,https://www.rotter.se/gsi/begravningsplatser/93,93, 60.49859400,14.96515900, Gagnef kommun, Dalarnas län,
84,Grangärde kyrkogård,https://www.rotter.se/gsi/begravningsplatser/94,94, 60.26158300,14.98120500, Ludvika kommun, Dalarnas län,
85,Grängesbergs kyrkogård,https://www.rotter.se/gsi/begravningsplatser/95,95, 60.07858500,15.02432800, Ludvika kommun, Dalarnas län,
86,Säfsnäs kyrkogård,https://www.rotter.se/gsi/begravningsplatser/96,96, 60.14020200,14.42676400, Ludvika kommun, Dalarnas län,Q111941506
87,Grytnäs kyrkogård,https://www.rotter.se/gsi/begravningsplatser/97,97, 60.16734000,16.22090100, Avesta kommun, Dalarnas län,
88,Garpenbergs kyrkogård,https://www.rotter.se/gsi/begravningsplatser/98,98, 60.31546800,16.20443700, Hedemora kommun, Dalarnas län,
89,Hedemora kyrkogård,https://www.rotter.se/gsi/begravningsplatser/99,99, 60.27622800,15.99441900, Hedemora kommun, Dalarnas län,Q62024580
